N;mark;year;mileage;vol_engine;price
69639;toyota;2015;90229;1798;64500
69640;toyota;2016;114455;1598;56000
69641;toyota;2015;100000;1598;47900
69642;toyota;2018;60066;1598;76501
69643;toyota;2018;54500;1329;54000
69644;toyota;2018;78113;1798;83900
69645;toyota;2016;120679;1598;56000
69646;toyota;2015;120000;1329;49900
69647;toyota;2015;53442;1598;52900
69648;toyota;2016;169000;1598;47900
69649;toyota;2015;48500;1598;54500
69650;toyota;2016;77338;1329;46900
69651;toyota;2015;89213;1598;46500
69652;toyota;2014;56437;1598;48500
69653;toyota;2013;97000;1798;55900
69654;toyota;2017;56000;1329;52900
69655;toyota;2015;49233;1598;48000
69656;toyota;2016;60000;1798;78000
69657;toyota;2016;21000;1329;52700
69658;toyota;2015;109355;1364;43100
69659;toyota;2018;65498;1197;66900
69660;toyota;2013;101737;1329;45900
69661;toyota;2016;83309;1197;49500
69662;toyota;2015;55914;1598;53500
69663;toyota;2013;88765;1598;40500
69664;toyota;2015;133271;1798;73500
69665;toyota;2015;20492;1598;59000
69666;toyota;2015;93342;1598;53501
69667;toyota;2016;132136;1794;52000
69668;toyota;2014;265000;1364;28900
69669;toyota;2017;13496;1329;70900
69670;toyota;2018;46797;1798;72999
69671;toyota;2014;111502;1798;56000
69672;toyota;2014;187590;1598;44900
69673;toyota;2013;62000;1329;33400
69674;toyota;2013;160000;1598;42900
69675;toyota;2017;56770;1798;75500
69676;toyota;2014;74673;1998;52500
69677;toyota;2018;79295;1598;51900
69678;toyota;2014;79528;1998;45900
69679;toyota;2015;185000;1364;38700
69680;toyota;2018;91350;1364;51500
69681;toyota;2017;113468;1798;72900
69682;toyota;2018;129958;1798;72900
69683;toyota;2018;64436;1364;59990
69684;toyota;2016;52470;1598;61900
69685;toyota;2018;139000;1598;56900
69686;toyota;2014;109982;1798;59500
69687;toyota;2014;139460;1329;42900
69688;toyota;2018;69737;1329;50001
69689;toyota;2016;200000;1364;35600
69690;toyota;2014;182000;1598;44900
69691;toyota;2018;71124;1598;62900
69692;toyota;2015;117834;1598;49500
69693;toyota;2015;174000;1798;57900
69694;toyota;2016;88016;1598;63900
69695;toyota;2015;89000;1329;49900
69696;toyota;2018;61366;1598;69900
69697;toyota;2018;179601;1798;69900
69698;toyota;2013;162500;1364;37500
69699;toyota;2016;127400;1329;49500
69700;toyota;2018;46945;1364;57300
69701;toyota;2013;262000;1798;43500
69702;toyota;2015;133048;1798;69900
69703;toyota;2018;67000;1598;58900
69704;toyota;2018;34210;1598;73900
69705;toyota;2015;185000;1598;51800
69706;toyota;2018;139000;1798;56900
69707;toyota;2017;109200;1598;65900
69708;toyota;2013;150700;1998;38900
69709;toyota;2018;102000;1800;73500
